"workflow","process","task_hash","a_MB","c_MB","M_MB"
"mcmicro","ASHLAR","1c6d6d991ccfb07871a2ebb903359a4c","185.6974925994873","210.01838493347168","216.97265625"
"mcmicro","ASHLAR","1d1718b47a93ef6d58aae1989b4f97e9","185.69750308990479","209.38178539276123","217.30859375"
"mcmicro","ASHLAR","1d257ae21576a5536354b3a278b2b303","185.68831253051758","217.6039638519287","216.29296875"
"mcmicro","ASHLAR","1d52a4542208222f29d44ec8dabf4340","185.697003364563","210.2922010421753","216.7109375"
"mcmicro","ASHLAR","1e9c2f1f58fe5d7637e80ae94f507fc1","185.69745635986328","210.21320629119873","216.078125"
"mcmicro","ASHLAR","1e9cbd577d4cdecd9153eea06241057b","185.6973752975464","209.6945924758911","216.1953125"
"mcmicro","ASHLAR","1e9db72423018d89ecd71ab3586687ac","185.6975040435791","209.30033493041992","216.62109375"
"mcmicro","ASHLAR","1f7d7b7487f9315b2af8ee44e01f2bbe","185.69750308990479","209.49146270751953","216.16015625"
"mcmicro","ASHLAR","1f8164ecae230c82aa775d6a48614949","185.69715023040771","209.56246757507324","216.39453125"
"mcmicro","ASHLAR","1f9ba84e8f97fdb25cfd77d10b640821","185.69698238372803","217.48744773864746","217.36328125"
"mcmicro","ASHLAR","202ac0a0d34abfc019ac75259fc12967","185.68877029418945","210.48206520080566","216.0390625"
"mcmicro","ASHLAR","20794e268be9844c7e1878f5a629e13a","185.69759559631348","215.57398509979248","216.703125"
"mcmicro","ASHLAR","208a85e7ef12e629a62021953e172024","185.69701194763184","210.55366802215576","216.45703125"
"mcmicro","ASHLAR","21abe829e12bc26530ef788dcd66f15e","185.69695663452148","210.41777324676514","216.640625"
"mcmicro","ASHLAR","22ea39c944b850252510be48747e987e","185.69736862182617","217.46858024597168","243.10546875"
"mcmicro","ASHLAR","231b8beb6072171d9eccf4457f623b4a","185.69715118408203","210.4601936340332","216.2578125"
"mcmicro","ASHLAR","2357574ad65be263f9144841b407f6b4","185.69689846038818","210.38841819763184","215.98046875"
"mcmicro","ASHLAR","23c3f91d5b2055dc080a48b0b0b97d50","185.6969118118286","209.498140335083","216.484375"
"mcmicro","ASHLAR","23f1840433a0d630a04008656a781f6f","185.6884994506836","210.46800327301025","216.25"
"mcmicro","ASHLAR","25ead5490b7a6c0e7667adc58b6643f2","185.6974573135376","209.40316104888916","216.3359375"
"mcmicro","ASHLAR","26147b0c39f3ffdde849ace44c628dbf","185.69700717926025","215.58164024353027","216.15234375"
"mcmicro","ASHLAR","263f4a51a1c3b3e765c49a30caad82b5","185.68913173675537","209.4538860321045","216.79296875"
"mcmicro","ASHLAR","2722092bad6fbfe7499a6e0994c0cbe7","185.6970272064209","209.4566469192505","216.1484375"
"mcmicro","ASHLAR","2786bba041385a119493b7ea580dfd01","185.6975908279419","209.611252784729","217.125"
"mcmicro","ASHLAR","27913465e89d8e5d7a8f1a2b5b1cc7c9","185.69699382781982","217.34690284729004","217.33984375"
"mcmicro","ASHLAR","27ef65a8aee8f3418cd176d0682ecb65","185.69713592529297","209.78785133361816","216.5625"
"mcmicro","ASHLAR","280ddc4e402df5f2f101a93e26df2ab2","185.6972312927246","209.50968742370605","216.41796875"
"mcmicro","ASHLAR","2838950610ca071af966e8efa4c177b3","185.69745254516602","209.5839729309082","216.63671875"
"mcmicro","ASHLAR","2852f0cc64b264bf579c7b99a22fb305","185.69708347320557","209.55126094818115","216.60546875"
"mcmicro","ASHLAR","287ba2b27be980a7f2d4f03366f2c5d8","185.69704627990723","217.4995355606079","216.921875"
"mcmicro","ASHLAR","293c5afddeee306e70134fe53ce4111d","185.6975040435791","210.61832237243652","216.56640625"
"mcmicro","ASHLAR","2a0a7f1a060bfb5680b12f74922c5e57","185.69727993011475","209.5086908340454","216.8125"
"mcmicro","ASHLAR","2a5b5bdc2515f1f1564b90875d1e8aa0","185.69706344604492","217.46134662628174","216.3515625"
"mcmicro","ASHLAR","2ad8b308270665b119a893c7f3c535b1","185.69749450683594","209.3866376876831","216.578125"
"mcmicro","ASHLAR","2b22a3c558a1af8e6ef94addebb2461c","185.69694995880127","209.59036540985107","216.5"
"mcmicro","ASHLAR","2b68d3e73ba09e89bc9a8183b4009da1","185.69722080230713","209.47950553894043","216.57421875"
"mcmicro","ASHLAR","2bc2d3bfbe5411dfd50f98f4d9c9a116","185.6975154876709","209.54500484466553","216.375"
"mcmicro","ASHLAR","2c6c350e1774bb2974a73eff8395cb4b","185.6975040435791","217.4744358062744","215.953125"
"mcmicro","ASHLAR","2da6dae64028d5d3456fed2e1e0ad498","185.69741916656494","217.40594482421875","243.53515625"
"mcmicro","ASHLAR","2dcba15307a0b095daf80d3614be8ee5","185.69744396209717","209.55320072174072","216.23828125"
"mcmicro","ASHLAR","2e8a8e30c60270a9f3be4989f1ab6e5d","185.69697856903076","210.09172439575195","216.8515625"
"mcmicro","ASHLAR","2fdb5031a02add5fe554422719fbc14c","185.6970510482788","209.67540073394775","216.8046875"
"mcmicro","ASHLAR","30bff472ab3dbe10cfa8817db8d08f96","185.69710636138916","210.59023094177246","216.51953125"
"mcmicro","ASHLAR","31107939b45f36178368e47f397a7edb","185.6974573135376","215.82005500793457","216.3359375"
"mcmicro","ASHLAR","317a13de0f465f956d52625cb8f1056a","185.69752597808838","209.8308219909668","216.48828125"
"mcmicro","ASHLAR","31d4a725df39c0a2e78b90034863f24d","185.69710159301758","209.71365642547607","216.44140625"
"mcmicro","ASHLAR","320c772b0a474e972eeaf93da0cc9d82","185.68839359283447","217.5258903503418","243.203125"
"mcmicro","ASHLAR","32701fed1b25dd85cdf6250b0db56bc9","185.69745635986328","209.5204257965088","216.5234375"
"mcmicro","ASHLAR","3278b216e331b9e41e0bc70ddece2286","185.69700813293457","210.2102632522583","216.6875"
"mcmicro","ASHLAR","333d8166b01ebd5d9cddbe8fa50e0e3f","185.6974983215332","211.4732427597046","216.44140625"
"mcmicro","ASHLAR","3394b6132acd851025753410f54f99cd","185.6883888244629","210.08849620819092","216.85546875"
"mcmicro","ASHLAR","33f0a808eed0be400cf0da57662e0c94","185.68899059295654","209.60791778564453","216.8828125"
"mcmicro","ASHLAR","340aa549cb87614d6a15e7478f66bd5f","185.69709968566895","210.35012245178223","217.06640625"
"mcmicro","ASHLAR","34a16e38da81cb6e7b05ea328425c75e","185.6970500946045","209.6162281036377","216.4140625"
"mcmicro","ASHLAR","34e221bab1c978f021431f456c2da81f","185.6974048614502","210.40465450286865","216.1875"
"mcmicro","ASHLAR","35e75b0d2054cc19f1b64f16b8b4b542","185.68825244903564","208.22486305236816","215.9609375"
"mcmicro","ASHLAR","362f4846731c5f3885cf73aaee00ce5b","185.69704627990723","217.44464683532715","216.984375"
"mcmicro","ASHLAR","37742fcbe6025e41d53687e7ec30f7e0","185.69710636138916","209.40750312805176","216.30859375"
"mcmicro","ASHLAR","377a5ad672b5fe0006eba4d0e7b88d8b","185.69696235656738","209.46156787872314","216.79296875"
"mcmicro","ASHLAR","37c6b0d4c89934b75fed506540cde193","185.69745635986328","208.14257907867432","216.61328125"
"mcmicro","ASHLAR","386b1bb73634da2f79b0dea9480cb30f","185.68846607208252","217.47229290008545","216.47265625"
"mcmicro","ASHLAR","38ca52fe1bd2e1e468a4a2427cfb6628","185.6968116760254","213.03000164031982","242.75390625"
"mcmicro","ASHLAR","38e64c7aee4cbcd166da0c3f3e3ae598","185.69693756103516","217.69212436676025","216.5"
"mcmicro","ASHLAR","38f7bbdf415cc0f51640d90c85598830","185.69700717926025","209.6324462890625","216.33984375"
"mcmicro","ASHLAR","3adf20ceadb8055f91a014c1303ec032","185.6970043182373","210.3693323135376","216.109375"
"mcmicro","ASHLAR","3b456bc5d75544b431380dfd6e5211e5","185.69699001312256","215.61530208587646","216.1796875"
"mcmicro","ASHLAR","3cbe47deaeb74caf9ae6421eb5e7128b","185.6972770690918","217.53107070922852","217.17578125"
"mcmicro","ASHLAR","3d1726878de1c54928b4efcc0003201f","185.69712162017822","209.33637237548828","216.89453125"
"mcmicro","ASHLAR","3d2091c70c8ee9639890b378609eae7d","185.6974172592163","217.52381229400635","226.203125"
"mcmicro","ASHLAR","3daa42b810a5e5bfa97510f41bfe2e03","185.69701290130615","209.69328594207764","216.484375"
"mcmicro","ASHLAR","3e6444388aaba6500d90ab3b301f9163","185.69754600524902","209.59974193572998","216.65625"
"mcmicro","ASHLAR","3edcae6a7b2d19cf54955fa54c022865","185.6973638534546","209.396240234375","216.828125"
"mcmicro","ASHLAR","3ee1b51a8e8f6cbf7479e4034637fc24","185.6970043182373","209.57197952270508","216.82421875"
"mcmicro","ASHLAR","3f135d34e29e9d348c40e87b4099643d","185.6974105834961","210.58635425567627","216.39453125"
"mcmicro","ASHLAR","3f7e932d3a3368698818f4264bbb98a9","185.68834686279297","217.5649538040161","216.3671875"
"mcmicro","ASHLAR","423d77a83f1ee8561e25238b28c64085","185.6975040435791","209.53427028656006","216.83203125"
"mcmicro","ASHLAR","4348dce3dff369252b2b09256d281431","185.68851280212402","217.40481281280518","216.11328125"
"mcmicro","ASHLAR","447808c07b88625fdaa132739a78d3b7","185.69688892364502","217.44618892669678","216.13671875"
"mcmicro","ASHLAR","448104b2f1893ec99f95a07f7a3a70ff","185.69695377349854","209.43047618865967","216.046875"
"mcmicro","ASHLAR","44af6f0b1771e41fd4c6bc5175118549","185.6976432800293","209.46560668945312","216.5234375"
"mcmicro","ASHLAR","4518ee9c992e6759c227fcf53a211565","185.69731616973877","209.4653615951538","216.890625"
"mcmicro","ASHLAR","4584ec9a672e84a7bfa869a61c5322b2","185.69731616973877","209.41547679901123","216.28125"
"mcmicro","ASHLAR","4606f45853d33a8f8cb8a44cfe23db6a","185.6973695755005","209.57101726531982","216.14453125"
"mcmicro","ASHLAR","4663138760da3a61c30e26e441d43692","185.6974573135376","210.49977779388428","215.98828125"
"mcmicro","ASHLAR","46da2c00bf70e94612032ed3d5bab39b","185.6975507736206","210.33946323394775","216.29296875"
"mcmicro","ASHLAR","4743dca3c499cc9a672e0ebd74643f14","185.69695854187012","215.72970962524414","216.5390625"
"mcmicro","ASHLAR","476c52be285e16f39362d0449108aa82","185.68852424621582","209.49572849273682","217.93359375"
"mcmicro","ASHLAR","4960d9fa2e4564a5dc5ab103f4f191b8","185.68829536437988","208.10789108276367","217.06640625"
"mcmicro","ASHLAR","49b4cd0af27fd0c29de820ca11148fc9","185.6968812942505","217.60563564300537","217.88671875"
"mcmicro","ASHLAR","4b19231df94c6fa58245a3e6de4cdb42","185.6970500946045","209.51746273040771","216.3984375"
"mcmicro","ASHLAR","4b9c58df6b750ba6a61a0799a7f2d3d7","185.69745635986328","209.46181964874268","216.36328125"
"mcmicro","ASHLAR","4cae52195ae96e90cc4c6389ca2da5be","185.68834686279297","209.47242546081543","216.15625"
"mcmicro","ASHLAR","4cfb04ae8acd54cdd6654350fe488fd0","185.6975040435791","209.41043758392334","216.234375"
"mcmicro","ASHLAR","4d3dc2f7132ba46135b70901d8efa7d8","185.6969861984253","215.70572090148926","216.28125"
"mcmicro","ASHLAR","4dfaa86467101d87b15b00e07bfc3a37","185.69698238372803","209.64592933654785","216.71875"
"mcmicro","ASHLAR","4e073c7f3315fcc559f3a56af283a059","185.69740962982178","210.51372528076172","216.7109375"
"mcmicro","ASHLAR","4e9dc04f521e32617a9260cdc8067a71","185.69695854187012","217.6175012588501","216.94140625"
"mcmicro","ASHLAR","4f86ae7e73041a5d1690bc2547aa6e95","185.69709300994873","209.5121774673462","216.6484375"
"mcmicro","ASHLAR","4fb345d6af06a60c0b4785d67caae198","185.69714641571045","217.53625202178955","217.59375"
"mcmicro","ASHLAR","50af953b9db28651706984e344ded8e3","185.69693279266357","209.4851942062378","216.11328125"
"mcmicro","ASHLAR","50b0618bd8b410521e5c40a596bcae82","185.6973819732666","211.32734298706055","216.734375"
"mcmicro","ASHLAR","50eea30ffbd28bef427f14defdf2a238","185.69699096679688","215.72654247283936","216.05859375"
"mcmicro","ASHLAR","51422b367dc222691fe508a733764c13","185.68842315673828","210.64853858947754","216.0703125"
"mcmicro","ASHLAR","51beabb15b659bae54bbced74cd77971","185.69740962982178","215.68328666687012","217.00390625"
"mcmicro","ASHLAR","51d617ec208531bcca65c434d8288bda","185.6970920562744","210.5165672302246","215.95703125"
"mcmicro","ASHLAR","51edbcdaa22317d199aa8becc4a0b6eb","185.6974277496338","209.43654918670654","216.5703125"
"mcmicro","ASHLAR","54310f3ad8634836afcf3ebb90418d67","185.69699382781982","209.53732681274414","216.33203125"
"mcmicro","ASHLAR","54452cf1fae4c1a735bb34f39851f89a","185.6975975036621","209.63207721710205","217.40625"
"mcmicro","ASHLAR","56114fff4d8e87aeee503fd88b938215","185.6883945465088","209.5326509475708","215.89453125"
"mcmicro","ASHLAR","564f72c1dca0368f2acf092cdae6b515","185.6968593597412","217.49323749542236","216.57421875"
"mcmicro","ASHLAR","56a29d1ca22cf03ba0a1d7f6a1619e8b","185.69710445404053","217.64579963684082","218.1640625"
"mcmicro","ASHLAR","56b8c55348e0ea9731df679c208881f2","185.69754314422607","209.6805534362793","216.52734375"
"mcmicro","ASHLAR","56cfc90abe5f6aa1d52f424c54647ddc","185.68889713287354","211.44455528259277","215.6484375"
"mcmicro","ASHLAR","5796d1e47985de9dcb9555bb6810556c","185.697039604187","210.10037422180176","216.69921875"
"mcmicro","ASHLAR","58bd6c5d11a6db660eca926f4ab0d597","185.69751262664795","209.62567615509033","216.51171875"
"mcmicro","ASHLAR","5bb284df99baa2001a0e27cc11268dca","185.69708919525146","217.5074119567871","216.09375"
"mcmicro","ASHLAR","5be54e9e38db4b04f1ad76967ccdf6a9","185.69754600524902","209.56051635742188","216.15625"
"mcmicro","ASHLAR","5d6e0567721c1984570e01c4d3433049","185.6974515914917","209.65697574615479","216.69921875"
"mcmicro","ASHLAR","5e50dc401087aaf0d614cd4e54533947","185.6973114013672","209.5497703552246","216.78515625"
"mcmicro","ASHLAR","5e55baa13adbc46383583072cc56f51a","185.68842792510986","208.15573978424072","217.2734375"
"mcmicro","ASHLAR","5e81b38bb31f56b03f54287548ea8ea9","185.69703769683838","210.3957691192627","215.90625"
"mcmicro","ASHLAR","5ec14568c2bb3e04f379c8b338ddc7cf","185.69747829437256","209.6535882949829","216.76171875"
"mcmicro","ASHLAR","5f686e73a376dd6c3a297a7c61ea169c","185.69698333740234","217.5548858642578","216.0703125"
"mcmicro","ASHLAR","5fb7c39fdd685a5a0fd80aa15dff1ac1","185.68898582458496","209.47894954681396","216.54296875"
"mcmicro","ASHLAR","60b97b6d71de4ddf26e181ce3430cea6","185.6974744796753","209.5878734588623","215.74609375"
"mcmicro","ASHLAR","61de96f70e5b32c721899d5b7d5b1118","185.69696044921875","209.55169200897217","216.18359375"
"mcmicro","ASHLAR","621bdc156e38beffe53e96d1135c21e5","185.69745540618896","209.57500457763672","216.38671875"
"mcmicro","ASHLAR","64bee5be146265fd0bfea603df515257","185.6975040435791","209.55078792572021","216.53515625"
"mcmicro","ASHLAR","65e79912af752900dda39b8e1e581a57","185.68828773498535","217.45541954040527","216.48828125"
"mcmicro","ASHLAR","68a62d1254a18380ba91edb3ef8bcef4","185.69699573516846","209.53106784820557","216.6484375"
"mcmicro","ASHLAR","697d17092a30c4d68d6d34d76ec1dffb","185.69699954986572","217.60086917877197","244.1015625"
"mcmicro","ASHLAR","6998d1e35e179f563288d976a4ca43a5","185.6884069442749","217.42373275756836","217.578125"
"mcmicro","ASHLAR","69db50d8364649ed09c57f3b715218bd","185.68830680847168","217.54932308197021","242.53125"
"mcmicro","ASHLAR","6a1bf105f858b422b12b74a6ebdbe10a","185.69707012176514","209.5388059616089","216.9609375"
"mcmicro","ASHLAR","6a4c9a550acc3732b07726500d0f0807","185.69714641571045","210.20459747314453","216.82421875"
"mcmicro","ASHLAR","6abb94723a3bb1fbb5f68bae644341df","185.6969747543335","217.50760650634766","216.6328125"
"mcmicro","ASHLAR","6b69fbddd60e0c05b9a0ba7e5120f180","185.69708442687988","210.38521480560303","216.6796875"
