process,task_hash,c_bytes
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQC_FILTERED,e56a3f55,52619971
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_SUBSAMPLE_FQ_SALMON-FQ_SUBSAMPLE,c0b1be2a,18525854
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQC_FILTERED,a15e255e,52998864
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FQ_LINT_AFTER_BBSPLIT,1b43b6f3,3170559
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-SALMON_QUANT,006b853c,11571850
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-SALMON_QUANT,e52bf716,14258341
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,a4215b43,4590885
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-SALMON_QUANT,72b38fe7,14092146
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQC_FILTERED,0ac7d479,54636068
NFCORE_RNASEQ-RNASEQ-QUANTIFY_BAM_SALMON-SALMON_QUANT,8c7f6ac7,8453652
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-STAR_ALIGN,039b5710,61661435
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQ_SUBSAMPLE_FQ_SALMON-SALMON_QUANT,6d7e477f,15984608
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,5760214e,10068781
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-SALMON_QUANT,19f3b84a,14019072
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT-CUSTOM_TX2GENE,1c1b1bdf,6842334
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,7c1fe138,4974961
NFCORE_RNASEQ-RNASEQ-QUANTIFY_BAM_SALMON-QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT-CUSTOM_TX2GENE,02620b8c,6302623
NFCORE_RNASEQ-RNASEQ-QUANTIFY_BAM_SALMON-SALMON_QUANT,19a3ee8c,7820990
NFCORE_RNASEQ-RNASEQ-FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS-FASTQC_FILTERED,3489a1d5,52179460
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,985bdef0,4661892
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-STAR_ALIGN,9e82072a,38740653
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,ffa31491,10475199
NFCORE_RNASEQ-RNASEQ-QUANTIFY_PSEUDO_ALIGNMENT-SALMON_QUANT,59b57a62,18187834
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,6459afd4,3913146
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,e9a72750,3808751
NFCORE_RNASEQ-RNASEQ-QUANTIFY_BAM_SALMON-SALMON_QUANT,e98c2401,8087303
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,50c6b589,4050344
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,4bf59e34,3631255
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,4214cadd,4104421
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,eccf06e8,3910688
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,697e571b,8748659
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,3a48b256,4039433
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,2f802700,4067685
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,a1fea33e,3971552
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,68384db6,16927784
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-STAR_ALIGN,6a6f9c65,72061876
NFCORE_RNASEQ-RNASEQ-ALIGN_STAR-STAR_ALIGN,7f7e368a,72667025
