process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,d7e98b57c85122163d20e03312dc8f7d,536399872,10,/shared/mag_run/work/d7/e98b57c85122163d20e03312dc8f7d
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTP,1bc142bfe485b2ad6b04b207ca8e9b6e,1236434944,19,/shared/mag_run/work/1b/c142bfe485b2ad6b04b207ca8e9b6e
NFCORE_MAG-MAG-ASSEMBLY-GUNZIP_SHORTREAD_ASSEMBLIES,b744edfa7a799f0dba4e1678f229f7a3,33239040,0,/shared/mag_run/work/b7/44edfa7a799f0dba4e1678f229f7a3
NFCORE_MAG-MAG-ASSEMBLY-SHORTREAD_ASSEMBLY-MEGAHIT,7739634e010c22785a825b927eed7bdd,63496192,1,/shared/mag_run/work/77/39634e010c22785a825b927eed7bdd
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,dfa08fbab59af6c59e4fc6838d3f7cd0,503365632,10,/shared/mag_run/work/df/a08fbab59af6c59e4fc6838d3f7cd0
NFCORE_MAG-MAG-ASSEMBLY-GUNZIP_SHORTREAD_ASSEMBLIES,c49661d9a31c41c1516380d1992a1f19,32665600,1,/shared/mag_run/work/c4/9661d9a31c41c1516380d1992a1f19
NFCORE_MAG-MAG-BINNING_PREPARATION-SHORTREAD_BINNING_PREPARATION-BOWTIE2_ASSEMBLY_BUILD,94512e9b18e1ec0bf020ec34028259be,26759168,1,/shared/mag_run/work/94/512e9b18e1ec0bf020ec34028259be
NFCORE_MAG-MAG-BINNING_PREPARATION-SHORTREAD_BINNING_PREPARATION-BOWTIE2_ASSEMBLY_BUILD,98b140bebf5a30970bef92ac7d658c6e,26423296,1,/shared/mag_run/work/98/b140bebf5a30970bef92ac7d658c6e
NFCORE_MAG-MAG-SHORTREAD_PREPROCESSING-FASTQC_TRIMMED,60785d0961e7154aa204afc09718f99b,441667584,9,/shared/mag_run/work/60/785d0961e7154aa204afc09718f99b
NFCORE_MAG-MAG-PRODIGAL,f23b1cc39035acf1b4f95aba91d47ec4,88780800,3,/shared/mag_run/work/f2/3b1cc39035acf1b4f95aba91d47ec4
NFCORE_MAG-MAG-PRODIGAL,3a42ddba8dfb830ad5fbdb7c5af097ff,107298816,8,/shared/mag_run/work/3a/42ddba8dfb830ad5fbdb7c5af097ff
NFCORE_MAG-MAG-ASSEMBLY-SHORTREAD_ASSEMBLY-METASPADES,887c6183001ac135d75ad7e3721e2958,344731648,72,/shared/mag_run/work/88/7c6183001ac135d75ad7e3721e2958
