"process","raw_task_count"
"ALIGN_CHUNK","1004"
"BUILD_INDEX","1"
"DOWNLOAD_REFERENCE","1"
"DOWNLOAD_RUN","22"
"FLAGSTAT_BAM","1004"
"INDEX_BAM","1004"
"SPLIT_RUN","22"
