"category","name","count","preserved_in_artifact","notes"
"dataset","manifest_rows","20","yes","See data/public_runs_prjeb11501_20.tsv"
"dataset","smoke_manifest_rows","2","yes","See data/public_runs_prjeb11501_smoke.tsv"
"compact","task_rows_compact","2928","yes","See task_metrics_recorded.csv; this is the paper-level Experiment 2 row set"
"compact","task_types_compact","7","yes","See task_metrics_summary.csv"
"raw","task_rows_retry_expanded","3058","yes","Summarized in raw_task_metrics_summary.csv from the preserved raw eBPF tree"
"outputs","merged_audit_trace_csv","1","yes","Preserved in this folder as merged_audit_trace_recorded.csv"
"outputs","execution_trace_txt","1","no","Generated at rerun time under <results_dir>/pipeline_info/execution_trace.txt"
"outputs","merged_audit_trace_tsv","1","no","Generated at rerun time under <results_dir>/pipeline_info/merged_audit_trace.tsv"
