"process","task_count"
"ALIGN_CHUNK","1004"
"BUILD_INDEX","1"
"DOWNLOAD_REFERENCE","1"
"DOWNLOAD_RUN","22"
"FLAGSTAT_BAM","936"
"INDEX_BAM","942"
"SPLIT_RUN","22"
