"workflow","process","task_hash","a_MB","c_MB","M_MB"
"bowtie2_audit_nf","ALIGN_CHUNK","0cf0873d44619d619ab506f406e42d7a","63.6","51.93513774871826","97.6"
"bowtie2_audit_nf","ALIGN_CHUNK","0db03c18abe4e4f20848652ec4276cf7","63.8","54.76322555541992","96.9"
"bowtie2_audit_nf","ALIGN_CHUNK","0de4e1fbf70e24cc9096d15a0e495e34","57.2","50.743600845336914","88.4"
"bowtie2_audit_nf","ALIGN_CHUNK","0e49b104e375e2f237f7c2ad6c0f6d43","63.9","54.942742347717285","96.3"
"bowtie2_audit_nf","ALIGN_CHUNK","0ef85f10dc637161749966c946c99907","56.5","49.30208969116211","91.6"
"bowtie2_audit_nf","ALIGN_CHUNK","0f2d38fac85a3645efacdd7cb84e3365","64.7","54.2456750869751","98.0"
"bowtie2_audit_nf","ALIGN_CHUNK","0f5cf687807678878b6668bd2f4e8c2e","63.0","52.64718246459961","93.9"
"bowtie2_audit_nf","ALIGN_CHUNK","0f947217bf1143695f5f251022da89fd","59.0","50.54097938537598","93.6"
"bowtie2_audit_nf","ALIGN_CHUNK","0fddcaf7508464ed958689b20b696689","62.0","50.69564151763916","93.5"
"bowtie2_audit_nf","ALIGN_CHUNK","0ff3ebbbd31276fb01065f73a914f8f5","63.3","51.73080825805664","95.7"
"bowtie2_audit_nf","ALIGN_CHUNK","108f9c2600582e6ebffd086a09809983","62.8","50.978604316711426","96.6"
"bowtie2_audit_nf","ALIGN_CHUNK","10960198926378c4f715dd9c577145d5","59.2","50.714396476745605","92.6"
"bowtie2_audit_nf","ALIGN_CHUNK","10bcf01689fdf8cac8181f3057b8ee64","58.8","49.900848388671875","92.8"
"bowtie2_audit_nf","ALIGN_CHUNK","116c2798bb5f7cbc95a0dabc69ba253f","63.3","51.79088020324707","96.5"
"bowtie2_audit_nf","ALIGN_CHUNK","1176be27cf6431d9a1c4685b6988f7d8","62.1","51.710105895996094","94.1"
"bowtie2_audit_nf","ALIGN_CHUNK","120cc69d43b61e14e45d456e53dad98a","56.8","50.55852127075195","88.7"
"bowtie2_audit_nf","ALIGN_CHUNK","121138453f84aaa73b48ea912ddaff61","63.1","51.61231231689453","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","121a8b0428e117dc6019530bf77f20c5","62.9","54.099369049072266","96.3"
"bowtie2_audit_nf","ALIGN_CHUNK","123c1fa5798e8f1c41edca2bead79ac3","62.9","50.61236572265625","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","124005b8bd24c2a0f3533c1299e28c3d","63.1","51.53122806549072","93.5"
"bowtie2_audit_nf","ALIGN_CHUNK","12481e0e9cccdfc5f7d38eff20ddb363","63.3","51.82826042175293","96.7"
"bowtie2_audit_nf","ALIGN_CHUNK","125026619eb0187ca52e24519a931340","62.1","49.891849517822266","96.8"
