"process","raw_task_count"
"BUILD_INDEX","13"
"FLAGSTAT_BAM","1250"
"GENERATE_REFERENCE","7"
"GENERATE_WINDOW_READS","1260"
"INDEX_BAM","1250"
"MAP_WINDOW","1250"
"PLAN_WINDOWS","2"
