"category","name","count","preserved_in_artifact","notes"
"dataset","synthetic_reference_chromosomes","4","yes","Defined in scripts/generate_reference.py"
"dataset","default_window_manifest_rows","1250","yes","Generated by scripts/plan_windows.py with --n-windows 1250"
"compact","task_rows_compact","2385","yes","See task_metrics_recorded.csv; this is the paper-level Experiment 2 row set"
"compact","task_types_compact","6","yes","See task_metrics_summary.csv"
"raw","task_rows_retry_expanded","5032","yes","See merged_audit_trace_recorded.csv and raw_task_metrics_summary.csv"
"outputs","execution_trace_txt","1","no","Generated at rerun time under <results_dir>/pipeline_info/execution_trace.txt"
"outputs","merged_audit_trace_csv","1","yes","Preserved in this folder as merged_audit_trace_recorded.csv"
"outputs","merged_audit_trace_tsv","1","no","Generated at rerun time under <results_dir>/pipeline_info/merged_audit_trace.tsv"
