process,task_hash,m_cgroup_peak_bytes,runtime_sec,workdir
fastqc_after_clipping,c3967f497bf3b2bb2ff5a83736dc70a6,14213120,0,/shared/eager_run/work/c3/967f497bf3b2bb2ff5a83736dc70a6
makeFastaIndex,2c57ef7c952421027d46d38bd87b547d,14417920,0,/shared/eager_run/work/2c/57ef7c952421027d46d38bd87b547d
output_documentation,6a6897304a480cfab6764354c353fcc0,13766656,0,/shared/eager_run/work/6a/6897304a480cfab6764354c353fcc0
adapter_removal,ab6674c11e65531272bfdd481d9fc63f,14045184,0,/shared/eager_run/work/ab/6674c11e65531272bfdd481d9fc63f
fastqc,ebc047b26b6a0ee25b0aca302fc5aed4,14446592,0,/shared/eager_run/work/eb/c047b26b6a0ee25b0aca302fc5aed4
adapter_removal,bc53e8d8ac302f732981fc071607c833,14708736,0,/shared/eager_run/work/bc/53e8d8ac302f732981fc071607c833
fastqc_after_clipping,6719156643e295660ce8bad4db7a07b6,14221312,0,/shared/eager_run/work/67/19156643e295660ce8bad4db7a07b6
makeSeqDict,a24779ed2c0d9e44a8c7b6a9baf7aa0b,14319616,0,/shared/eager_run/work/a2/4779ed2c0d9e44a8c7b6a9baf7aa0b
get_software_versions,16519b0cbbb6ab5796ccb557d40fbe36,14446592,0,/shared/eager_run/work/16/519b0cbbb6ab5796ccb557d40fbe36
makeBWAIndex,dd743044a66339acb3f2cc361e37c0af,14708736,0,/shared/eager_run/work/dd/743044a66339acb3f2cc361e37c0af
fastqc,ebc047b26b6a0ee25b0aca302fc5aed4,14237696,0,/shared/eager_run/work/eb/c047b26b6a0ee25b0aca302fc5aed4
bwa,6bac0b3ff999e9d61aa7791c311e5f9e,14561280,0,/shared/eager_run/work/6b/ac0b3ff999e9d61aa7791c311e5f9e
adapter_removal,ab6674c11e65531272bfdd481d9fc63f,14041088,0,/shared/eager_run/work/ab/6674c11e65531272bfdd481d9fc63f
adapter_removal,bc53e8d8ac302f732981fc071607c833,14192640,0,/shared/eager_run/work/bc/53e8d8ac302f732981fc071607c833
fastqc_after_clipping,6719156643e295660ce8bad4db7a07b6,14376960,0,/shared/eager_run/work/67/19156643e295660ce8bad4db7a07b6
fastqc,abf1f0f3836f10ff84dd6091d943fce1,14102528,0,/shared/eager_run/work/ab/f1f0f3836f10ff84dd6091d943fce1
fastqc_after_clipping,02abf66972136a15acf380f02d29f99e,14245888,0,/shared/eager_run/work/02/abf66972136a15acf380f02d29f99e
makeSeqDict,a24779ed2c0d9e44a8c7b6a9baf7aa0b,14434304,0,/shared/eager_run/work/a2/4779ed2c0d9e44a8c7b6a9baf7aa0b
output_documentation,6a6897304a480cfab6764354c353fcc0,14245888,0,/shared/eager_run/work/6a/6897304a480cfab6764354c353fcc0
makeFastaIndex,2c57ef7c952421027d46d38bd87b547d,13967360,0,/shared/eager_run/work/2c/57ef7c952421027d46d38bd87b547d
adapter_removal,1acf114e1d34d2b979654a310373a824,13967360,0,/shared/eager_run/work/1a/cf114e1d34d2b979654a310373a824
fastqc_after_clipping,c3967f497bf3b2bb2ff5a83736dc70a6,14151680,0,/shared/eager_run/work/c3/967f497bf3b2bb2ff5a83736dc70a6
bwa,f0eaa16a5264c2eedb465266810d16c3,14389248,0,/shared/eager_run/work/f0/eaa16a5264c2eedb465266810d16c3
fastqc,47fcc2b5665eb0da546318aef203a046,14565376,0,/shared/eager_run/work/47/fcc2b5665eb0da546318aef203a046
preseq,5c0fae06366f26a93913e1254617480a,14995456,0,/shared/eager_run/work/5c/0fae06366f26a93913e1254617480a
endorSpy,dc5fd46007064c87496fa845340b6092,15179776,0,/shared/eager_run/work/dc/5fd46007064c87496fa845340b6092
bwa,068cef2892f169d0f313fa61f3f2dba2,15052800,0,/shared/eager_run/work/06/8cef2892f169d0f313fa61f3f2dba2
damageprofiler,240d1e2d1a1dc814e9e62eb4167f52d9,14069760,0,/shared/eager_run/work/24/0d1e2d1a1dc814e9e62eb4167f52d9
damageprofiler,efa4234199022a6a1a4bdda93ad4e039,14336000,0,/shared/eager_run/work/ef/a4234199022a6a1a4bdda93ad4e039
samtools_flagstat,1b52c69879cd3bfd830e505d54053e85,14274560,0,/shared/eager_run/work/1b/52c69879cd3bfd830e505d54053e85
preseq,5dba88344ec381690691f3824252aca9,15040512,0,/shared/eager_run/work/5d/ba88344ec381690691f3824252aca9
samtools_flagstat,badb01b647839e7e303cd9b979262ef3,14946304,0,/shared/eager_run/work/ba/db01b647839e7e303cd9b979262ef3
qualimap,1a03f5e12dd86396207f359f96420b9d,14176256,0,/shared/eager_run/work/1a/03f5e12dd86396207f359f96420b9d
samtools_flagstat,145043cba8cc11355277e0d27b1aae4c,14348288,0,/shared/eager_run/work/14/5043cba8cc11355277e0d27b1aae4c
damageprofiler,5faac89fc0d26ef534826d30ace0a64e,14819328,0,/shared/eager_run/work/5f/aac89fc0d26ef534826d30ace0a64e
qualimap,8fc15c2ce03f25374896022c9af83571,14520320,0,/shared/eager_run/work/8f/c15c2ce03f25374896022c9af83571
endorSpy,c6ea4172bec1bbd9770cfc367f81a289,15106048,0,/shared/eager_run/work/c6/ea4172bec1bbd9770cfc367f81a289
markduplicates,ceca3b5da3b8794fbd3199b002c019be,14372864,0,/shared/eager_run/work/ce/ca3b5da3b8794fbd3199b002c019be
qualimap,50cd0c5a31c4e0a387fedbeeca7c7b12,14237696,0,/shared/eager_run/work/50/cd0c5a31c4e0a387fedbeeca7c7b12
preseq,e18765cdd67efbe8b98cbb084fd529c5,14393344,0,/shared/eager_run/work/e1/8765cdd67efbe8b98cbb084fd529c5
markduplicates,ce913a30853d76c0fb4b911555832217,14200832,0,/shared/eager_run/work/ce/913a30853d76c0fb4b911555832217
endorSpy,455d40c3a9c466883bf5da150ba11ef3,14319616,0,/shared/eager_run/work/45/5d40c3a9c466883bf5da150ba11ef3
markduplicates,df85bf89bb4773e5dae77534e2146188,14143488,0,/shared/eager_run/work/df/85bf89bb4773e5dae77534e2146188
