process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,50cec3f1,17743436
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,616d46bd,17162743
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,2f7c110c,8221002
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,07651bf3,16998378
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,583dc023,86798059
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,9ee540ca,16853930
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,13131168,8218500
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,2f674c10,16386973
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,1effedf6,87670223
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,47cbf1e2,8260442
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,12207552,16385891
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,9fe7cfdd,16523467
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,5de4378b,7086867
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,223a0ed4,8447912
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,c832eb1a,16728187
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,90f710dd,18889394
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,57236bcc,18995501
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,3308c358,15934068
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,b2f595b6,25397318
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,f48a85b2,25978332
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,fed0e9f7,84514233
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,a3a9bb14,33173287
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,883de547,17285932
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,5067b1ab,83198318
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,c996eac1,24328686
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,234e8477,82751315
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,d7e2d2b2,16580214
