process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-PLOT_MACS3_QC,bbb337c5,23942229
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,68571510,52623935
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,3bdf2b31,277541290
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,b7af6250,276684106
NFCORE_CHIPSEQ-CHIPSEQ-BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2-MACS3_CONSENSUS,38a4065c,29059669
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,c80f1625,277539652
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,f38a23b1,206478666
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,a9c2d358,273576017
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,dde96490,210077222
NFCORE_CHIPSEQ-CHIPSEQ-BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2-SUBREAD_FEATURECOUNTS,8e48ccf3,44180918
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,5f3d84eb,283233874
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,cac804ce,308406625
NFCORE_CHIPSEQ-CHIPSEQ-BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2-HOMER_ANNOTATEPEAKS,a44f008f,56547733
NFCORE_CHIPSEQ-CHIPSEQ-BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2-ANNOTATE_BOOLEAN_PEAKS,7d8fd7c0,5305086
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,70d3b5e5,294608920
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,115b755e,204660440
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MULTIQC_CUSTOM_PEAKS,d8febf5b,4510607
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,fdaf91e7,15881113
NFCORE_CHIPSEQ-CHIPSEQ-BED_CONSENSUS_QUANTIFY_QC_BEDTOOLS_FEATURECOUNTS_DESEQ2-DESEQ2_QC,6466238b,77046164
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,e8539f8b,15616977
NFCORE_CHIPSEQ-CHIPSEQ-IGV,22c144bc,6078142
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,4ad9eac9,51798273
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,34fe0767,52206593
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-HOMER_ANNOTATEPEAKS,35ecfb99,57263490
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-PLOT_HOMER_ANNOTATEPEAKS,cac79031,25417902
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,ba096fdf,274214278
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,f49c4ebc,11346471
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,b094071f,9856441
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MULTIQC_CUSTOM_PEAKS,7912496f,4487824
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,e10d30c7,11190288
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-UCSC_BEDGRAPHTOBIGWIG,dcf9d5ea,15060160
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_COMPUTEMATRIX,a38a40b7,291065033
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,2d759513,196249116
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,71660036,295354634
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_ALIGN_BWA-BWA_MEM,e1ee652f,70830887
NFCORE_CHIPSEQ-CHIPSEQ-FASTQ_FASTQC_UMITOOLS_TRIMGALORE-FASTQC,b8164fed,55052458
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC,38800b24,95475
NFCORE_CHIPSEQ-CHIPSEQ-BAM_BEDGRAPH_BIGWIG_BEDTOOLS_UCSC-BEDTOOLS_GENOMECOV,0922b28b,11307983
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTPROFILE,edef193e,203736848
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTHEATMAP,9d527f7a,301103384
